LAT	LON	ALT	SYNCHRONY	CODE	nSAMPLES	TMann	PRann	Col
32.47	5.02	229	0.376756757	morc016	91	21.80575	62.36667568	#CCE9F2
68.78	-142.35	1067	0.380136986	cana315	132	-13.44041096	100.0593699	#E2F4F2
68.63	-143.72	1372	0.2918	ak033	34	-13.47221	101.8044	#6BA2CB
69.5	-127.83	838	0.396615385	cana319	138	-14.39673077	102.4559077	#E2F4F2
69.5	-127.83	838	0.302461538	cana320	65	-14.39673077	102.4559077	#83B9D7
69.5	-127.83	838	0.42921875	cana321	38	-14.4020625	102.491625	#FFFFBF
68.08	-143.13	648	0.063943662	ak053	153	-11.45947887	104.1352817	#313695
43.82	93.3	2743	0.494520548	chin032	44	-0.318958904	110.7087945	#FDCD7E
43.83	93.38	3200	0.381232877	chin030	51	-0.318958904	110.7087945	#E2F4F2
43.82	93.33	2743	0.377945205	chin031	49	-0.318958904	110.7087945	#CCE9F2
43.85	93.3	2591	0.365068493	chin029	91	-0.318958904	110.7087945	#CCE9F2
37.51	97.06	4725	0.552739726	chin055	56	-5.338719178	114.1499315	#F67E4B
43.6	90.1	2438	0.491643836	chin036	56	3.597534247	115.8384932	#FDCD7E
43.6	90.22	2438	0.406849315	chin035	89	3.597534247	115.8384932	#F0F9D8
68.1	-141.1	548	0.292191781	ak047	16	-11.31717808	120.5087534	#6BA2CB
38.57	99.33	4663	0.293875	chin070	69	-7.07731875	133.604425	#6BA2CB
37.47	97.23	4267	0.409305556	chin051	59	0.134756944	144.3144861	#F0F9D8
37.47	97.24	4267	0.37375	chin050	50	0.134756944	144.3144861	#CCE9F2
68.03	-149.68	1448	0.337631579	ak085	22	-11.79676974	148.1315132	#9BCCE2
64.52	-138.32	1349	0.173015873	cana125	93	-9.563301587	148.3395873	#313695
43.15	82.87	2164	0.426933333	chin011	46	5.463226667	150.28124	#FFFFBF
43.08	82.68	2415	0.3004	chin012	42	5.463226667	150.28124	#83B9D7
38.2	99.87	4336	0.275949367	chin071	91	-6.554037975	152.5459494	#5689BE
68.63	-138.63	838	0.51125	cana029	58	-12.08127083	153.1641667	#FDB769
37.45	97.54	3810	0.503013699	chin052	51	-0.070075342	154.5113288	#FDB769
37.45	97.79	3962	0.622297297	chin054	65	-0.069844595	154.8447838	#BB1526
37.25	97.75	3552	0.328902439	chin067	606	-0.051853659	157.755	#9BCCE2
37	98.5	3536	0.58609375	chin005	243	-3.295078125	157.8541875	#E14631
65	-138.33	1173	0.311956522	cana157	42	-9.370858696	158.4153696	#83B9D7
37.44	98.06	4648	0.601917808	chin053	61	-3.298363014	159.6922329	#D22B26
37.31	98.4	4115	0.412567568	chin060	52	-3.296601351	159.9337838	#F0F9D8
35.53	-115.58	923	0.549487179	ca513	13	17.05787179	160.6359744	#F67E4B
70.25	138.17	107	0.452580645	russ106w	29	-16.50409677	162.3549355	#FEF0A9
65.5	-145.33	914	0.046785714	ak037	8	-5.779107143	165.4031964	#313695
65.5	-145.33	914	0.423088235	ak036	17	-5.758625	165.8595882	#FFFFBF
67	-139	762	0.28369863	cana326	218	-10.23239726	166.5816438	#6BA2CB
69.2	161.43	-10	0.388076923	russ199	12	-12.62425	167.9556667	#E2F4F2
67.57	-149.82	1098	0.280491803	ak084	14	-10.69956557	169.9164098	#6BA2CB
67.55	-149.83	1098	0.172459016	ak083	30	-10.69956557	169.9164098	#313695
67.53	-149.85	1128	0.312638889	ak082	82	-10.69659028	170.1219722	#83B9D7
