LAT	LON	CODE	Synch_CHANGE	ColSD
51.22	6.05	neth025	0.006023138	#C9ECF4
51.45	4.32	neth028	0.008233761	#C9ECF4
51.45	4.32	neth030	0.00983201	#C9ECF4
35.58	-83.38	nc015	0.009944289	#C9ECF4
46.15	8.9931	swit228	0.01	#C9ECF4
44.28	10.8	ital017	0.010332058	#C9ECF4
-32	115.65	ausl004	0.010954451	#C9ECF4
49.83	18.33	czec3	0.011883131	#C9ECF4
46.06	8.86	swit305	0.012135598	#C9ECF4
52.25	5.83	neth031	0.013658601	#C9ECF4
52.23	5.92	neth034	0.013882789	#C9ECF4
65.17	19.47	swed011	0.014009229	#C9ECF4
35.9	74.93	paki004	0.014870734	#C9ECF4
34.7	-82.87	sc003	0.015017608	#C9ECF4
35.83	74.33	paki029	0.015720291	#C9ECF4
35.95	-113.08	az143	0.01587953	#C9ECF4
35.15	-79.37	nc9	0.016056024	#C9ECF4
48.75	13	germ5	0.016099069	#C9ECF4
49.83	18.33	czec	0.016391501	#C9ECF4
51.45	4.32	neth029	0.016515621	#C9ECF4
51.35	-116.22	cana355	0.016542486	#C9ECF4
36.75	-113.73	az104	0.016606745	#C9ECF4
36.92	22.35	gree009	0.016994092	#C9ECF4
46.19	8.88	swit344	0.017009646	#C9ECF4
35.08	-106.38	nm050	0.017029658	#C9ECF4
48.17	99.87	mong039	0.017150607	#C9ECF4
46.87	7.68	swit163w	0.017171405	#C9ECF4
38.25	-90.42	mo	0.01739437	#C9ECF4
32	-109.33	az537	0.017441459	#C9ECF4
29.28	100.08	chin018	0.017613997	#C9ECF4
47.78	107.5	mong006	0.017682648	#C9ECF4
45	-110.72	mt006	0.017834248	#C9ECF4
46.72	-89.97	mi007	0.017879361	#C9ECF4
32.62	-109.82	az056	0.017921911	#C9ECF4
50.15	85.37	russ127w	0.017964977	#C9ECF4
37.75	-119.85	ca582	0.018336562	#C9ECF4
43.43	-109.55	wy028	0.018359259	#C9ECF4
55.5	-122.67	cana092	0.018572388	#C9ECF4
38.25	-90.42	mo009	0.018639632	#C9ECF4
59.6	-139.37	ak11	0.018650096	#C9ECF4
33.38	-109.78	az041	0.018676156	#C9ECF4
46.17	-122.2	wa029	0.018758902	#C9ECF4
39.42	-111.07	ut508	0.018821616	#C9ECF4
35.6	-108.13	nm025	0.018927501	#C9ECF4
45.35	-103.13	sd008	0.018943401	#C9ECF4
37.2	-108.5	co021	0.018947342	#C9ECF4
36.67	-115.17	nv506	0.018976469	#C9ECF4
48.9167	20.2833	svk006	0.018998327	#C9ECF4
40.55	-114.82	nv514	0.019079465	#C9ECF4
61.67	29.17	finl2	0.019158254	#C9ECF4
35.87	-109.43	az046	0.019179602	#C9ECF4
50.65	6.32	germ173	0.019195533	#C9ECF4
35.08	32.58	cypr013w	0.019219367	#C9ECF4
40.55	41.98	turk022	0.019355318	#C9ECF4
37.2	-108.5	co	0.019388501	#C9ECF4
-39.6	-71.37	arge020	0.019405719	#C9ECF4
42.92	-122.5	or026	0.019429068	#C9ECF4
37.37	-118.22	ca534	0.019467373	#C9ECF4
64.83	-148.17	ak013	0.019476015	#C9ECF4
49.15	-125.23	cana113	0.019551219	#C9ECF4
55.97	21.08	lith012	0.019570152	#C9ECF4
59.47	12.4	swed016	0.01960711	#C9ECF4
57.52	-5.33	brit018	0.019620117	#C9ECF4
34.3	-94.65	ok019	0.019637499	#C9ECF4
68.08	-143.13	ak053	0.019675435	#C9ECF4
45.32	-118.8	wa014	0.019704336	#C9ECF4
36.98	-107.07	nm503	0.019751862	#C9ECF4
46.19	8.88	swit346	0.019875151	#C9ECF4
57.28	-4.92	brit024	0.01987705	#C9ECF4
38.22	-118.67	nv503	0.019991595	#C9ECF4
46.15	8.99	swit227	0.02	#C9ECF4
47.82	7.77	germ3	0.02001156	#C9ECF4
50.03	-71.48	cana054	0.020013146	#C9ECF4
53	8	germ6	0.02018464	#C9ECF4
37.23	28.38	turk011	0.020236695	#C9ECF4
29.87	-98.5	tx052	0.020237514	#C9ECF4
-54.7	-64.67	arge031	0.020290806	#C9ECF4
48.83	-117.55	wa005	0.020325848	#C9ECF4
36.57	-118.75	ca587	0.020484567	#C9ECF4
39.83	-79.7	pa005	0.020535809	#C9ECF4
46.12	8.8	swit245	0.020599975	#C9ECF4
47.98	7.08	fran033w	0.020625305	#C9ECF4
50.75	-120.55	cana015	0.020632845	#C9ECF4
36.67	-110.5	az023	0.020651085	#C9ECF4
44.17	5.25	fran7	0.020680454	#C9ECF4
50.57	-115.15	cana099	0.020884193	#C9ECF4
35.65	-78.88	nc8	0.020891547	#C9ECF4
47.67	13	germ019	0.020902825	#C9ECF4
37.55	-105.42	co562	0.020968154	#C9ECF4
34.95	-91.22	ar049	0.021013292	#C9ECF4
44.0833	11.75	ital037	0.021056382	#C9ECF4
30.37	130.53	japa017	0.021076436	#C9ECF4
50.75	-120.55	cana011	0.021104427	#C9ECF4
36.82	-103.02	nm047	0.02112971	#C9ECF4
31.9	-104.85	tx046	0.021131582	#C9ECF4
44.47	-70.05	me	0.021160816	#C9ECF4
68.27	-133.33	cana138	0.02122949	#C9ECF4
40.03	-105.58	co511	0.021296932	#C9ECF4
60.53	-128.84	cana372	0.02132948	#C9ECF4
51.22	-116	cana419	0.021367203	#C9ECF4
-45.3	167.68	newz051	0.021378017	#C9ECF4
68	24.2	finl064	0.021570096	#C9ECF4
60.05	-109.03	cana303	0.021702534	#C9ECF4
46.2	-89.3	mi006	0.021712981	#C9ECF4
30.62	78.75	indi020	0.021746176	#C9ECF4
-38.7	175.6	newz058	0.021817482	#C9ECF4
46.28	7.83	swit123	0.021819222	#C9ECF4
47.38	8.11	swit254	0.021855102	#C9ECF4
34.97	-108.1	nm572	0.021896746	#C9ECF4
60.2	-149.58	ak016	0.021931832	#C9ECF4
47.51	8.74	swit362	0.021985044	#C9ECF4
