LAT	LON	CODE	S	pval	COLTREND
60.43	-147.75	ak001	-464	8.71E-07	#4393C3
63.67	-149.58	ak006	-447	0.000767898	#4393C3
60.5	-149.5	ak008	-751	1.84E-08	#4393C3
62.83	-143.92	ak009	-521	9.59E-05	#4393C3
61.83	-147.33	ak010	-454	0.000682477	#4393C3
61.33	-145.25	ak011	-1126	4.02E-17	#4393C3
60.2	-149.58	ak016	-785	2.13E-07	#4393C3
59.65	-139.31	ak019	-1114	9.14E-11	#4393C3
60	-141.68	ak021	-1520	3.13E-17	#4393C3
60.25	-143.97	ak022	-895	1.01E-07	#4393C3
60.75	-148.45	ak025	-1195	3.00E-13	#4393C3
60.83	-148.58	ak028	-1094	2.55E-11	#4393C3
60.12	-149.47	ak029	-968	5.72E-10	#4393C3
60.37	-148.9	ak030	-489	0.005478413	#4393C3
67.93	-162.3	ak031	-776	3.14E-12	#4393C3
67.45	-154.05	ak032	-825	4.69E-15	#4393C3
64.82	-163.7	ak034	-1416	5.05E-14	#4393C3
65.5	-145.33	ak036	-1773	4.96E-21	#4393C3
65.37	-146.62	ak041	-1610	1.20E-17	#4393C3
65.37	-145.93	ak042	-592	0.001199289	#4393C3
67.07	-159.62	ak046	-631	0.00017218	#4393C3
67.15	-149.13	ak051	-1450	1.59E-12	#4393C3
68.08	-143.13	ak053	-1496	6.10E-14	#4393C3
65.18	-162.2	ak057	-1297	5.56E-10	#4393C3
65.18	-162.22	ak058	-599	0.004252737	#4393C3
65.22	-162.25	ak060	-1348	1.13E-10	#4393C3
65.08	-162.18	ak061	-1139	5.50E-08	#4393C3
65.2	-162.27	ak062	-1548	1.44E-13	#4393C3
65.1	-162.15	ak063	-1836	1.79E-18	#4393C3
65.08	-162.15	ak064	-1281	9.18E-10	#4393C3
65.2	-162.2	ak065	-1297	6.23E-10	#4393C3
65.22	-162.22	ak066	-2080	2.86E-23	#4393C3
65.22	-162.22	ak067	-411	0.049669276	#4393C3
65.08	-162.18	ak068	-1006	1.55E-06	#4393C3
65.07	-162.23	ak069	-1408	1.70E-11	#4393C3
65.18	-162.22	ak070	-1217	6.22E-09	#4393C3
61.15	-142.08	ak075	-525	0.006149938	#4393C3
60.97	-153.92	ak088	-470	0.031269353	#4393C3
61.05	-147.1	ak091	-1015	1.23E-06	#4393C3
61.13	-142.07	ak097	-1093	1.34E-08	#4393C3
67.97	-149.77	ak104	-778	0.000107456	#4393C3
67.35	-149.47	ak106	-653	4.29E-08	#4393C3
57.62	-152.32	ak108	-437	0.002466172	#4393C3
67.92	-162.3	ak109	-678	2.18E-05	#4393C3
67.08	-157.92	ak110	-1049	6.44E-11	#4393C3
60.5	-146	ak112	-705	0.000702171	#4393C3
67.5	-150	ak113	-1391	4.56E-12	#4393C3
65.16	-162.25	ak115	-1427	3.56E-12	#4393C3
58.44	-135.59	ak118	-1952	3.78E-16	#4393C3
59.53	-139.73	ak121	-1737	6.05E-22	#4393C3
