county,site_number,date_visited,applicant,damage_location,damage_description,local_estimate,fema_validated,change_notes,unvalidated,,,,,
 CHAUTAUQUA,1,11/9/2019,City of Dunkirk,"Dunkirk Harbor, West Side
130 W. Lake Shore Dr. 42.4865, -79.8432",550 LF of large rip rap displaced by strong wind & high surf and portions of retaining wall & hand railings intermittingly shifted.,"$1,000,000",$0,No storm damage identified.  The applicant proposes an extension of preexisting rip-rap armoring to the lake wall; appears to be a mitigation project.,,,,,,
 CHAUTAUQUA,2,11/9/2019,City of Dunkirk,"Dunkirk Harbor, East Side
68 N. Beagle Street 42.4920, -79.3270","Over the span of approx. 3000 LF-approx. 22 concrete blocks (8'L x 2' W x 2' D) located on the retaining wall were displaced , along with approx. 500 LF of concrete rail support block (8'L x 3' W x 6"" D).","$1,000,000","$750,000",,,,,,,
 CHAUTAUQUA,3,11/19/2019,City of Dunkirk,"Dunkirk Harbor East Side, Dunkirk, NY 42.491438, -79.327940","Jersey Barriers (860 FT) placed as EPM along damaged lake wall, rented for the duration of repairs - 6 months",,"$15,000",,,,,,,
 CHAUTAUQUA,4,11/19/2019,City of Dunkirk,"Dunkirk Harbor East Side, Dunkirk, NY 42.491438, -79.327940","Water drain collapsed and fixed by contract services in 3 days. Replaced: 12 IN plastic pipe, 40 FT + 1 EA asphalt patch + 1 EA catch basin
No information on cost provided.",,"$7,500",,,,,,,
CHENANGO,1,11/6/2019,Pharsalia,"Schwartz Road
42.57616 / -75.71597","Stream water overwhelmed the culvert causing the following damages:                                                1) Culvert:  36"" Diameter X 20 FT Long, concrete.   80% Plugged.                                                               2) Road washout 40 FT Long X 18 FT Wide X 2 FT High.","$8,000","$8,000",,,,,,,
CHENANGO,2,11/6/2019,Pharsalia,Fred Stewart Road 42.601983 / -75.707390 TO 42.60816 / -75.70280,Ditch and Shoulder washout (.5 Miles Long X 5 FT Wide X 3 FT High),"$29,000","$29,000",,,,,,,
CHENANGO,3,11/6/2019,Pharsalia,"Cole Hill Road
42.63986 / -75.67854      TO 42.64235 / -75.68262",Road surface scoured (.5 Miles Long X 10 FT Wide X 4 IN High),"$10,000","$10,000",,,,,,,
CHENANGO,4,11/6/2019,Pharsalia,Johnson Street 42.64235 / -75.68262  TO                                  42.63946 / -75.68455,Road surface scoured (.25 Miles Long X 10 FT Wide X 6 IN High),"$8,000","$8,000",,,,,,,
CHENANGO,5,11/6/2019,Pharsalia,Benedict Road - Site 1          42.62590 / -75.68974  TO                                    42.62493 / -75.68957,Road surface scoured (375 FT Long X 12 FT wide X 6 IN High) ,"$5,000","$5,000",,,,,,,
CHENANGO,6,11/6/2019,Pharsalia,Benedict Road - Site 2          42.61999 / -75.68919  TO                                    42.61049 / -75.68822,Road surface scoured plus ditch washout out (.75 Miles Long X 12 FT Wide X 6 IN High) ,"$25,000","$25,000",,,,,,,
CHENANGO,7,11/6/2019,Pharsalia,Benedict Road Culvert     42.61644 / -75.68883,Culvert plugged and washed out (24 IN Diameter X 25 FT long) HDPE,"$6,000","$6,000",,,,,,,
CHENANGO,8,11/6/2019,Pharsalia,"One Eye Street
42.60903 / -75.70319  TO                                  42.61181 / -75.70753",Shoulder and ditch washout (.5 Miles Long X 3 FT Wide X 3 FT High) ,"$17,000","$17,000",,,,,,,
CHENANGO,9,11/6/2019,Pharsalia,Elmer Jackson Road  42.61143 / -75.71874  TO                                  42.61236 / -75.71850,Ditch and Shoulder washout (2/10  Miles Long X 12 FT Wide X 6 IN High),"$8,000","$8,000",,,,,,,
CHENANGO,10,11/6/2019,Pharsalia,John Smith Road        42.61198 / -75.73353    ,Road surface scoured (400 FT X 18 FT Wide X 6 IN High),"$8,000","$8,000",,,,,,,
CHENANGO,11,11/6/2019,Pharsalia,Billy Brown Road         42.58611 / -75.78137,Pavement heaved (50 FT Long X 50 FT Wide X 6 IN High),"$10,000","$10,000",,,,,,,
CHENANGO,12,11/6/2019,Pharsalia,George Peasley Road   42.58618 / -75.78117  TO                                  42.58772 / -75.77902,"Road surface, shoulder and ditch scoured (3/10 Miles Long X 18 FT Wide X 6 IN High) ","$18,000","$18,000",,,,,,,
CHENANGO,13,11/6/2019,Pharsalia,Center Road               42.59951 / -75.76226  TO                       42.59961 / -75.76323,Shoulders washed out (600 FT Long X 3 FT Wide X 6 IN High),"$4,000","$4,000",,,,,,,
CHENANGO,14,11/6/2019,Pharsalia,Moon Hill Road Site 1    42.58146 / -75.76340,Culvert buried and plugged (18 IN Diameter X 50 FT Long)  Steel ,"$5,000","$5,000",,,,,,,
CHENANGO,15,11/6/2019,Pharsalia,Moon Hill Road Site 2    42.58146 / -75.76340   TO 42.58250 / -75.76409,Road surface soured (400 FT Long X 18 FT Wide X 4 IN High) ,"$5,000","$5,000",,,,,,,
CHENANGO,16,11/6/2019,Pharsalia,Moon Hill Road Site 3   42.58300 / -75.76290  TO                                   42.58250 / -75.76409,Ditch washout (400 FT Long X 3 FT Wide X 2 FT High) ,"$8,000","$8,000",,,,,,,
CHENANGO,17,11/6/2019,Pharsalia,Moon Hill Road  Site X   42.58250 / -75.76409    ,Driveway culvert plugged (15 IN Diameter X 20 FT Long) Clean out,$500,$500,,,,,,,
CHENANGO,18,11/6/2019,Pharsalia,Moon Hill Road Site 5    42.57855 / -75.77512,Driveway culvert plugged (12 IN Diameter X 40 FT Long) Clean out,$500,$500,,,,,,,
CHENANGO,19,11/6/2019,Pharsalia,Moon Hill Road Site 6   42.57594 / -75.77541,Road surface scoured (80 FT Long X 10 FT Wide X 1 FT High),"$3,000","$3,000",,,,,,,
CHENANGO,20,11/6/2019,Pharsalia,Moon Hill Road Site 7  42.57594 / -75.77541  TO                                  42.57892 / -75.77491,Shoulder and ditch washout (1100 FT Long X 2 FT Wide X 1.5 FT High) ,"$6,000","$6,000",,,,,,,
CHENANGO,21,11/6/2019,Pharsalia,Fultner Road              42.58108 / -75.84132 ,Ditch washout (60 FT Long X 3 FT Wide X 2 FT High) ,"$1,500","$1,500",,,,,,,
CHENANGO,22,11/6/2019,Pharsalia,Fultner Road              42.58108 / -75.84132    TO 42.56278 / -75.76054,Shoulder washed out (190 FT Long X 5 FT Wide X 1 FT High),"$2,000","$2,000",,,,,,,
CHENANGO,23,11/6/2019,Pharsalia,"Fultner Road
42.56268 / -75.74475 TO 42.56580 / -75.74066",Shoulder washed out (3/10 Miles Long X 3 FT Wide X 6 IN High),"$7,000","$7,000",,,,,,,
CHENANGO,24,11/5/2019,Town of McDonough,"Lake Road 
42.52714 / -75.77684",Stream water overwhelmed culvert and scoured the surface of Lake Road (195 FT Long X 20FT Wide X 12 IN High). A partial permanent repair was done.  Material was added and graded.  More work is needed to bring it to PDC.,"$4,000",,,,,,,,
CHENANGO,25,11/5/2019,Town of McDonough,Strong Road - Site 1              42.53903 / -75.77985,Stream water overwhelmed culvert and scoured the surface of Strong Road at Site #1  (120 FT Long X 20FT Wide X 12 IN High.) A partial permanent repair was done.  Material was added and graded.  More work is needed to bring it to PDC.,"$3,000",,,,,,,,
CHENANGO,26,11/5/2019,Town of McDonough,Strong Road - Site 2              42.53885 / -75.78162,Ditch water overflowed and scoured the surface of Strong Road at Site #2  (200 FT Long X 20FT Wide X 12 IN High) A partial permanent repair was done.  Material was added and graded.  More work is needed to bring it to PDC.,"$3,000",,,,,,,,
CHENANGO,27,11/5/2019,Town of McDonough,Balsam Road              42.53888 / -75.78162,"Stream water overwhelmed culvert, topping Balsam Road and causing the following damages:
1)  Road washout  (12 FT Long X 18 FT Wide X 10FT Deep) A partial permenant repair was done to get the road open.
2)  Road surface scoured (80 FT Long X 18 FT Wide by 12 IN High) 
3)  Embankment and headwall (at outlet) washed away.  (65 FT Long X 18 FT Wide X 12 FT High). A partial temporary repair was made to get the road open.","$25,000","$25,000",,,,,,,
CHENANGO,28,11/5/2019,Town of McDonough,Hulbert Road                42.53638 / -75.73295,"Stream water overwhelmed the box culvert, topping Hulbert Road and causing the following damages: 
1)  Concrete box culvert (25 FT Long X 25 FT Wide X 5 FT High) 80% plugged with stones and gravel. 
2)  Road surface scoured (100 FT Long X 18 FT Wide X .5 FT High)  As a temporary repair, material was added and graded.","$51,500",,,,,,,,
CHENANGO,29,11/5/2019,Town of McDonough,"Pike Road 
42.53481 / -75.73153                            TO 42.53515 / -75.73257","Stream water overwhelmed a CS Culvert, rupturing/splitting the culvert.  Water was forced upwards through the road way from the middle of the culvert, causing the following damages: 
1)  CS Culvert (13FT Diameter X 36 FT Long) Broke/ruptured, lifted and bowed.
2) Roadway washed out above the culvert (25FT Long X 25 FT Wide X 3 FT High).
3) Road surface scoured away (360 FT Long X 25 FT Wide X 6 IN High).
4) Ditch washout (75 FT Long X 4 FT Wide X 5 FT High)
Temporary repairs were made to the road surface, and headwalls to get the roadway open on a temporary basis.","$250,000","$165,000",cost depends on how the repairs will be made and at this point we don't know.  Applicant is unsure of the cost.,,,,,,
