county,site_number,applicant,damage_location,local_estimate,fema_validated
CHENANGO, 43,Town of Smithville,"Stone Quarry Road     ",15000,15000
CHENANGO, 45,Chenango County DPW,"Countywide",0,70000
CHENANGO, 46,Chenango County DPW,"Graham Road",0,40000
CLINTON, 1,Clinton County Highway,"County Wide Debris",34911,34931
CLINTON, 5,Town of Ellenburg,"Town Wide debris",3260,3260
CLINTON, ,Town of Plattsburgh,"Town Wide Debris",5762,5762
CLINTON, ,Town of Plattsburgh,"Street lights damaged by blowing debris and falling limbs",836,1142
CLINTON, ,Clinton County Emergency Manager Cost,"",1453,1216
CLINTON, ,Town of Black Brook ,"town Wide debris",3104,3104
CLINTON, ,Town of Champlain,"Town Wide debris",790,790
CLINTON, ,Town of Chazy,"Town Wide debris",2000,2000
CLINTON, ,Town of Clinton,"Town Wide debris",3500,3500
CLINTON, ,Town of Dannemora,"town Wide debris",660,660
CLINTON, ,Town of Mooers,"town Wide debris",1000,1000
CLINTON, ,Town of Peru,"Town Wide debris",800,800
CLINTON, ,City of Plattsburgh,"City Wide Debris",1792,1792
CLINTON, ,Town of Saranac,"town Wide debris",6344,6344
CLINTON, ,Town of Schuyler Falls,"Town Wide debris",500,500
CLINTON, ,Village of Dannemora,"Village Wide Debris",600,0
CLINTON, ,City of Plattsburgh,"",1354,0
CORTLAND, 6,Town of Willet,"Melody Lake Road",140000,140000
ERIE, 3,City of Buffalo,"Various locations throughout the City",200000,200000
ERIE, 13,Town of Hamburg,"Hoover Beach Association",25000,25000
ESSEX, 6,Essex County DPW,"CRX Ensign Pond Rd
Entire length of road",10000,0
ESSEX, 11,Essex County DPW,"CR6 Tracy Rd
entire length of road",10000,0
ESSEX, 14,Essex County DPW,"CR78 Johnson Pond Rd
Entire length of road",30000,0
ESSEX, ,Town of Westport,"Mtn Spring Rd, entire length of road affected",57500,57500
ESSEX, ,Essex County DPW,"CR 44, Stevenson Rd, 5 sites identified; intermittent damage sites for the length of the road.",30000,0
ESSEX, ,Town of Moriah,"Port Henry Campground and Beach, at the end of Dock Lane on Lake Champlain; ",250000,165000
ESSEX, ,,"",0,404000
ESSEX, ,,"",0,190000
ESSEX, ,Town of Schroon,"Emerson Road, approx. 800' north of CR 24, the Hoffman Road.",15000,0
ESSEX, ,Town of Schroon,"Emerson Road, approx. 800' north of CR 24, the Hoffman Road.",100000,0
ESSEX, ,Town of Schroon,"Beech Hill Road, beginning at CR 24, the Hoffman Road heading south for about .3 of a mile.",10000,0
ESSEX, ,Town of Schroon,"Adirondack Road, beginning at about .5 miles south of the Crane Pond Road intersection for approx. 300'.",50000,0
ESSEX, ,Town of Schroon,"River Rd (north end); 500' east of NYS Route 9",20000,0
ESSEX, ,Town of North Hudson,"Pepper Hollow Road, west end of the road, adjacent to the Schroon River. About .75 miles west of Route 9.",10000,0
ESSEX, ,Town of Moriah,"Chipmunk Lane, beginning about .5 miles west of CR 70 and continuing for .6 miles.",40000,0
ESSEX, ,Town of Moriah,"Crowfoot Lane, 1.5 miles of the road was damaged intermittently beginning at the east end.",75000,0
